0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.4,0.6,0.2,2.4,1.4,0.8,1.0,0.2
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
18.4,27.4,41.8,43.4,57.6,66.6,77.2,81.4,88.2,93.8
95.8,98.4,99.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0
20.0,32.2,37.6,49.4,58.8,67.8,79.0,88.2,92.6,96.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14.6,27.8,41.6,42.6,49.2,58.6,71.0,80.6,87.0,92.6
41.4,59.4,72.6,81.2,90.2,94.4,97.6,97.4,97.0,98.2
0.0,0.2,0.0,0.0,0.4,0.6,0.0,0.8,0.0,0.0
98.8,99.2,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2,2.6,1.2,1.0,2.8,2.6,0.2,1.4,4.2,2.4
25.8,22.6,35.8,51.4,62.8,70.8,78.4,87.0,93.0,95.6
0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1.0,1.6,0.6,0.2,3.0,3.4,2.0,3.0,0.6,1.2
0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.6
2.2,9.2,5.6,8.0,9.8,11.6,17.4,13.8,13.0,20.4
5.8,7.8,9.2,8.4,14.0,18.6,22.0,21.6,19.2,24.6
0.4,2.4,0.6,0.4,1.6,0.8,3.4,3.0,0.4,0.8
0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
96.8,98.2,97.4,97.8,98.4,99.0,99.2,99.6,99.8,100.0
95.6,97.4,97.8,98.6,99.0,99.6,99.8,99.8,100.0,100.0
0.6,0.8,0.4,1.2,0.0,0.8,0.6,0.8,0.8,2.4
39.8,57.2,71.0,80.4,87.6,91.6,94.4,95.2,96.8,98.4
93.6,96.6,98.6,99.2,100.0,100.0,100.0,100.0,100.0,100.0
