0,1,2,3,4,5,6,7,8,9
0.513,0.4996,0.5196,0.512,0.5194,0.5144,0.5022,0.5178,0.504,0.5094
0.4828,0.5236,0.5442,0.5508,0.5534,0.5558,0.5576,0.5588,0.5604,0.5604
0.5062,0.5382,0.5618,0.5726,0.58,0.5852,0.5914,0.5918,0.5918,0.5918
0.4978,0.5206,0.5322,0.5478,0.5584,0.5638,0.5678,0.575,0.5772,0.5804
0.5058,0.5632,0.5952,0.6212,0.6376000000000001,0.6396,0.6412,0.6422,0.6422,0.6422
0.492,0.5652,0.6158,0.6798,0.7124,0.734,0.7402,0.7492,0.7592,0.7576
0.5094,0.5364,0.5518,0.5636,0.5794,0.583,0.5832,0.5832,0.5832,0.5832
0.5074,0.6304,0.7168,0.7742,0.811,0.8426,0.8562,0.8634000000000001,0.866,0.877
0.48919999999999997,0.5108,0.5144,0.5036,0.503,0.5208,0.522,0.5038,0.5118,0.504
0.5078,0.5228,0.503,0.5058,0.5048,0.5032,0.5042,0.5078,0.5396,0.5098
0.489,0.5566,0.6124,0.6778,0.7124,0.7496,0.7616,0.7756,0.7798,0.7914
0.503,0.624,0.6978,0.7794,0.8162,0.8512,0.8638,0.8658,0.883,0.8932
0.4948,0.5292,0.5314,0.5804,0.6104,0.6632,0.7442,0.7828,0.8192,0.869
0.5042,0.5256,0.5286,0.5356,0.5466,0.5622,0.5858,0.5804,0.5826,0.5836
0.5044,0.5064,0.5064,0.5064,0.5064,0.5064,0.5064,0.5064,0.5064,0.5064
0.4956,0.5034,0.5034,0.5034,0.5034,0.5034,0.5034,0.5034,0.5034,0.5034
0.509,0.5622,0.619,0.646,0.6726,0.6906,0.7018,0.7052,0.7082,0.7084
0.5102,0.5118,0.5112,0.509,0.5084,0.5122,0.5208,0.5336,0.5048,0.5105999999999999
0.5018,0.5264,0.5046,0.5006,0.5044,0.4926,0.5218,0.4898,0.5048,0.5085999999999999
0.505,0.5122,0.5142,0.5108,0.5128,0.5018,0.5134,0.543,0.5446,0.5608
0.4896,0.5214,0.5126,0.5026,0.4986,0.5168,0.5174,0.5076,0.5034,0.5024
0.4978,0.6072,0.6978,0.7812,0.8116,0.8606,0.8716,0.8752,0.8832,0.8822
0.4888,0.5254,0.5836,0.6174,0.6588,0.7114,0.7316,0.8172,0.8802,0.9082
0.4986,0.5122,0.5148,0.5148,0.5148,0.5148,0.5148,0.5148,0.5148,0.5148
0.4956,0.5304,0.536,0.536,0.536,0.536,0.536,0.536,0.536,0.536
0.498,0.5122,0.528,0.5224,0.5312,0.5396,0.5334,0.5472,0.5604,0.5524
0.4838,0.5288,0.57,0.6144,0.6528,0.7328,0.8052,0.8696,0.9126,0.9428
0.4948,0.5058,0.5084,0.5084,0.5084,0.5084,0.5084,0.5084,0.5084,0.5084
0.5095999999999999,0.5108,0.5108,0.5108,0.5108,0.5108,0.5108,0.5108,0.5108,0.5108
0.502,0.5108,0.5204,0.5214,0.5108,0.497,0.5024,0.5024,0.5008,0.5052
0.4962,0.5252,0.5462,0.5572,0.5844,0.6292,0.6616,0.7112,0.7764,0.823
0.4914,0.516,0.5372,0.5168,0.5346,0.5666,0.5594,0.5896,0.5968,0.6194
0.4972,0.5054,0.5074,0.5074,0.5074,0.5074,0.5074,0.5074,0.5074,0.5074
