,cluster_id
0,3
1,1
2,1
3,3
4,1
5,3
6,2
7,3
8,3
9,3
10,2
11,3
12,1
13,1
14,3
15,1
16,2
17,1
18,3
19,3
20,0
21,3
22,2
23,2
24,2
25,3
26,0
27,1
28,0
29,3
30,3
31,3
32,1
33,1
34,1
35,2
36,1
37,1
38,3
39,3
40,3
41,1
42,3
43,3
44,3
45,3
46,1
47,3
48,3
49,1
50,1
51,2
52,0
53,3
54,3
55,0
56,0
57,3
58,3
59,1
60,1
61,2
62,0
63,3
64,0
65,3
66,0
67,0
68,2
69,2
70,1
71,0
72,2
73,3
74,3
75,3
76,0
77,3
78,2
79,1
80,1
81,1
82,2
83,3
84,1
85,3
86,0
87,2
88,2
89,2
90,3
91,3
92,1
93,0
94,2
95,1
96,3
97,2
98,3
99,3
100,1
101,0
102,1
103,3
104,1
105,1
106,3
107,2
108,3
109,3
110,2
111,2
112,3
113,3
114,0
115,3
116,2
117,0
118,2
119,2
120,3
121,0
122,1
123,3
124,0
125,3
126,3
127,3
128,3
129,3
130,3
131,2
132,2
133,0
134,2
135,3
136,1
137,0
138,2
139,1
140,1
141,0
142,1
143,2
144,2
145,3
146,3
147,2
148,3
149,2
150,3
151,1
152,3
153,0
154,3
155,0
156,1
157,1
158,3
159,2
160,2
161,1
162,0
163,3
164,1
165,0
166,2
167,3
168,0
169,2
170,0
171,3
172,2
173,3
174,3
175,1
176,3
177,1
178,2
179,3
180,0
181,2
182,3
183,3
184,0
185,3
186,2
187,0
188,2
189,0
190,3
191,3
192,1
193,3
194,3
195,3
196,1
197,3
198,3
199,1
200,3
201,0
202,1
203,0
204,3
205,2
206,0
207,0
208,3
209,0
210,1
211,3
212,0
213,1
214,2
215,1
216,0
217,1
218,1
219,2
220,1
221,1
222,3
223,0
224,1
225,0
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,0
234,1
235,3
236,1
237,0
238,3
239,3
240,2
241,1
242,3
243,1
244,3
245,0
246,3
247,3
248,3
249,0
250,0
251,0
252,3
253,3
254,2
255,3
256,0
257,0
258,3
259,0
260,3
261,3
262,1
263,3
264,3
265,3
266,1
267,3
268,3
269,2
270,2
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,3
279,2
280,3
281,2
282,1
283,3
284,1
285,3
286,2
287,2
288,1
289,0
290,1
291,2
292,3
293,0
294,3
295,1
296,3
297,3
298,2
299,2
300,0
301,0
302,1
303,2
304,2
305,3
306,1
307,3
308,2
309,2
310,0
311,2
312,1
313,1
314,3
315,3
316,2
317,3
318,3
319,1
320,3
321,1
322,1
323,2
324,0
325,3
326,1
327,1
328,0
329,0
330,3
331,3
332,0
333,3
334,3
335,2
336,2
337,1
338,0
339,3
340,1
341,1
342,3
343,3
344,3
345,2
346,3
347,0
348,2
349,2
350,3
351,1
352,3
353,2
354,2
355,1
356,3
357,3
358,1
359,3
360,2
361,0
362,3
363,3
364,3
365,3
366,2
367,3
368,2
369,2
370,0
371,2
372,0
373,3
374,2
375,2
376,3
377,3
378,1
379,0
380,3
381,0
382,0
383,1
384,1
385,1
386,3
387,0
388,0
389,3
390,1
391,2
392,2
393,1
394,1
395,2
396,3
397,3
398,2
399,3
400,1
401,0
402,0
403,2
404,3
405,2
406,2
407,3
408,1
409,0
410,1
411,1
412,0
413,3
414,0
415,3
416,1
417,2
418,3
419,2
420,1
421,0
422,1
423,1
424,2
425,3
426,3
427,2
428,2
429,3
430,3
431,0
432,3
433,2
434,3
435,2
436,2
437,1
438,0
439,1
440,0
441,1
442,0
443,2
444,2
445,2
446,2
447,3
448,2
449,1
450,3
451,0
452,2
453,0
454,3
455,3
456,2
457,3
458,0
459,0
460,3
461,0
462,1
463,1
464,1
465,3
466,0
467,0
468,2
469,2
470,3
471,2
472,1
473,3
474,3
475,1
476,3
477,3
478,1
479,3
480,3
481,3
482,3
483,1
484,3
485,2
486,2
487,3
488,3
489,2
490,3
491,3
492,3
493,3
494,1
495,3
496,3
497,0
498,0
499,3
500,3
501,3
502,2
503,2
504,0
505,1
506,0
507,3
508,3
509,2
510,3
511,3
512,1
513,2
514,3
515,3
516,3
517,1
518,3
519,1
520,3
521,0
522,3
523,1
524,1
525,2
526,2
527,3
528,1
529,1
530,3
531,3
532,3
533,1
534,2
535,3
536,0
537,0
538,3
539,3
540,2
541,0
542,3
543,3
544,0
545,1
546,1
547,0
548,0
549,0
550,3
551,2
552,3
553,2
554,1
555,2
556,0
557,1
558,3
559,3
560,1
561,1
562,2
563,0
564,3
565,2
566,2
567,3
568,0
569,1
570,1
571,0
572,3
573,3
574,2
575,0
576,3
577,1
578,3
579,3
580,2
581,1
582,1
583,3
584,2
585,3
586,3
587,2
588,2
589,0
590,3
591,3
592,0
593,3
594,3
595,3
596,0
597,2
598,2
599,2
600,1
601,0
602,1
603,1
604,0
605,3
606,2
607,0
608,2
609,1
610,3
611,2
612,2
613,1
614,0
615,3
616,3
617,3
618,3
619,0
620,2
621,2
622,3
623,3
624,1
625,3
626,2
627,3
628,3
629,0
630,0
631,3
632,2
633,1
634,2
635,0
636,1
637,1
638,3
639,1
640,2
641,3
642,1
643,3
644,2
645,1
646,2
647,2
648,3
649,3
650,3
651,1
652,2
653,3
654,0
655,2
656,3
657,1
658,2
659,3
660,3
661,3
662,1
663,1
664,1
665,2
666,2
667,1
668,1
669,0
670,3
671,1
672,0
673,2
674,3
675,3
676,3
677,0
678,3
679,3
680,2
681,2
682,3
683,3
684,3
685,2
686,1
687,3
688,3
689,0
690,3
691,1
692,1
693,1
694,0
695,1
696,3
697,3
698,1
699,1
700,2
701,3
702,1
703,0
704,3
705,3
706,3
707,1
708,3
709,0
710,2
711,1
712,3
713,1
714,1
715,1
716,3
717,3
718,0
719,0
720,3
721,0
722,2
723,1
724,2
725,0
726,0
727,3
728,1
729,3
730,3
731,3
732,1
733,2
734,0
735,3
736,2
737,3
738,2
739,1
740,2
741,3
742,3
743,1
744,2
745,0
746,1
747,1
748,2
749,1
750,2
751,3
752,1
753,1
754,2
755,3
756,0
757,2
758,3
759,1
760,3
761,1
762,3
763,2
764,2
765,3
766,0
767,2
768,0
769,2
770,0
771,0
772,1
773,2
774,2
775,3
776,0
777,2
778,2
779,1
780,3
781,2
782,3
783,3
784,1
785,3
786,2
787,1
788,2
789,3
790,1
791,0
792,0
793,1
794,2
795,2
796,2
797,2
798,1
799,0
800,0
801,3
802,1
803,1
804,2
805,1
806,3
807,0
808,1
809,3
810,0
811,3
812,1
813,2
814,2
815,3
816,3
817,1
818,2
819,3
820,1
821,1
822,1
823,1
824,3
825,1
826,0
827,1
828,2
829,3
830,1
831,3
832,2
833,0
834,2
835,1
836,3
837,0
838,3
839,2
840,1
841,3
842,2
843,1
844,1
845,0
846,0
847,1
848,1
849,3
850,0
851,3
852,3
853,2
854,0
855,1
856,2
857,2
858,2
859,1
860,3
861,0
862,1
863,0
864,1
865,3
866,1
867,3
868,3
869,1
870,2
871,2
872,3
873,3
874,2
875,0
876,0
877,2
878,3
879,2
880,0
881,1
882,1
883,1
884,2
885,3
886,3
887,2
888,3
889,2
890,2
891,3
892,3
893,2
894,3
895,3
896,3
897,0
898,2
899,3
900,1
901,1
902,1
903,0
904,3
905,2
906,3
907,3
908,2
909,3
910,1
911,0
912,3
913,0
914,3
915,1
916,2
917,1
918,0
919,1
920,3
921,2
922,3
923,3
924,3
925,0
926,2
927,1
928,0
929,3
930,2
931,2
932,1
933,0
934,3
935,3
936,2
937,3
938,0
939,3
940,3
941,3
942,3
943,0
944,1
945,1
946,0
947,0
948,0
949,3
950,1
951,2
952,2
953,3
954,2
955,0
956,1
957,1
958,3
959,0
960,1
961,0
962,2
963,1
964,0
965,3
966,2
967,1
968,1
969,3
970,2
971,2
972,3
973,3
974,3
975,2
976,1
977,1
978,3
979,3
980,2
981,1
982,0
983,3
984,0
985,0
986,3
987,3
988,2
989,3
990,3
991,3
992,1
993,3
994,3
995,1
996,2
997,3
998,3
999,1
1000,2
1001,2
1002,0
1003,1
1004,1
1005,3
1006,0
1007,0
1008,3
1009,2
1010,3
1011,1
1012,2
1013,3
1014,2
1015,1
1016,3
1017,3
1018,0
1019,3
1020,1
1021,3
1022,3
1023,3
1024,3
1025,3
1026,3
1027,3
1028,3
1029,1
1030,0
1031,0
1032,0
1033,2
1034,3
1035,3
1036,2
1037,3
1038,1
1039,0
1040,2
1041,3
1042,3
1043,3
1044,3
1045,0
1046,0
1047,3
1048,1
1049,2
1050,0
1051,0
1052,0
1053,2
1054,3
1055,3
1056,2
1057,2
1058,1
1059,2
1060,2
1061,1
1062,2
1063,2
1064,1
1065,2
1066,3
1067,0
1068,0
1069,1
1070,1
1071,2
1072,3
1073,3
1074,3
1075,2
1076,0
1077,3
1078,1
1079,0
1080,1
1081,1
1082,0
1083,2
1084,0
1085,1
1086,3
1087,3
1088,3
1089,3
