abm,k,score, labels 
BR,3,0.7625, [0 0 0 ... 0 0 0] 
BR,4,0.6950, [1 1 1 ... 3 1 1] 
BR,5,0.6041, [1 1 1 ... 4 1 1] 
BR,6,0.5890, [0 0 0 ... 1 3 0] 
BR,7,0.5566, [1 1 1 ... 6 3 1] 
BR,8,0.5487, [3 3 3 ... 7 0 0] 
BR,9,0.5370, [0 0 0 ... 3 6 6] 
BR,10,0.5243, [3 3 3 ... 8 9 9] 
ECV,3,0.6228, [2 0 0 ... 0 0 1] 
ECV,4,0.6210, [2 0 0 ... 0 0 1] 
ECV,5,0.6165, [3 1 1 ... 1 1 2] 
ECV,6,0.6207, [4 1 1 ... 1 1 2] 
ECV,7,0.5668, [5 4 4 ... 4 4 1] 
ECV,8,0.5704, [4 0 0 ... 0 0 1] 
ECV,9,0.5679, [4 0 0 ... 0 0 1] 
ECV,10,0.5691, [3 7 7 ... 7 7 1] 
FF,3,0.9080, [0 2 0 ... 0 1 1] 
FF,4,0.8659, [0 3 0 ... 0 1 1] 
FF,5,0.7773, [0 2 0 ... 0 1 1] 
FF,6,0.7346, [1 3 4 ... 4 0 0] 
FF,7,0.7083, [1 4 6 ... 6 0 0] 
FF,8,0.6905, [3 5 0 ... 0 1 1] 
FF,9,0.6750, [0 8 7 ... 7 1 1] 
FF,10,0.6564, [0 8 7 ... 3 1 1] 
