abm,k,score, labels 
BR,3,0.7401, [0 0 1 ... 2 2 0] 
BR,4,0.7110, [0 0 1 ... 2 3 3] 
BR,5,0.6865, [0 0 1 ... 4 3 3] 
BR,6,0.6449, [0 0 4 ... 5 3 3] 
BR,7,0.5739, [0 4 1 ... 3 2 0] 
BR,8,0.5693, [1 5 0 ... 3 4 4] 
BR,9,0.5679, [8 0 1 ... 5 2 6] 
BR,10,0.5617, [7 3 1 ... 8 6 0] 
ECV,3,0.5532, [1 1 2 ... 1 1 2] 
ECV,4,0.5724, [1 1 3 ... 1 1 3] 
ECV,5,0.5623, [3 3 1 ... 3 3 1] 
ECV,6,0.5728, [3 3 2 ... 3 3 2] 
ECV,7,0.5675, [2 2 5 ... 2 2 5] 
ECV,8,0.5394, [5 5 1 ... 5 5 1] 
ECV,9,0.5492, [7 7 1 ... 7 7 1] 
ECV,10,0.5536, [3 3 5 ... 3 3 5] 
FF,3,0.7751, [2 1 1 ... 2 0 0] 
FF,4,0.7328, [3 1 2 ... 1 0 0] 
FF,5,0.7115, [2 3 1 ... 3 0 0] 
FF,6,0.7003, [2 3 0 ... 3 1 1] 
FF,7,0.6871, [4 5 3 ... 5 1 1] 
FF,8,0.6778, [2 4 0 ... 4 1 1] 
FF,9,0.6566, [5 7 1 ... 7 0 0] 
FF,10,0.6462, [3 9 7 ... 2 6 6] 
