abm,k,score, labels 
BR,3,0.7635, [2 2 1 ... 0 2 2] 
BR,4,0.7412, [1 1 0 ... 3 2 2] 
BR,5,0.7204, [0 0 1 ... 3 2 2] 
BR,6,0.6984, [0 0 1 ... 3 5 5] 
BR,7,0.6669, [4 1 6 ... 3 5 4] 
BR,8,0.6131, [1 3 6 ... 2 7 7] 
BR,9,0.5793, [1 4 7 ... 2 6 6] 
BR,10,0.5688, [9 0 8 ... 7 6 4] 
ECV,3,0.8914, [0 0 1 ... 0 0 1] 
ECV,4,0.8701, [0 0 1 ... 0 0 1] 
ECV,5,0.8293, [0 0 1 ... 0 0 1] 
ECV,6,0.8302, [0 0 1 ... 0 0 1] 
ECV,7,0.8213, [0 0 1 ... 0 0 1] 
ECV,8,0.8207, [0 0 6 ... 0 0 6] 
ECV,9,0.6682, [0 0 1 ... 0 0 1] 
ECV,10,0.6697, [6 6 1 ... 6 6 1] 
FF,3,0.9729, [1 1 1 ... 1 0 0] 
FF,4,0.9646, [0 0 0 ... 0 1 1] 
FF,5,0.9492, [4 1 1 ... 1 0 0] 
FF,6,0.9344, [3 1 1 ... 1 0 0] 
FF,7,0.9278, [6 0 0 ... 0 1 1] 
FF,8,0.9150, [5 1 1 ... 1 0 0] 
FF,9,0.8922, [5 1 1 ... 1 0 0] 
FF,10,0.8931, [9 0 0 ... 0 1 1] 
