abm,k,score, labels 
BR,3,0.7659, [1 1 0 ... 2 1 1] 
BR,4,0.7191, [0 0 3 ... 2 0 0] 
BR,5,0.7128, [4 4 3 ... 2 1 1] 
BR,6,0.6835, [4 4 3 ... 2 0 0] 
BR,7,0.6755, [4 4 3 ... 0 6 6] 
BR,8,0.6700, [1 1 3 ... 4 6 6] 
BR,9,0.6225, [1 1 8 ... 4 6 6] 
BR,10,0.6113, [0 0 8 ... 1 9 6] 
ECV,3,0.8921, [2 2 0 ... 2 2 0] 
ECV,4,0.8729, [2 2 3 ... 2 2 3] 
ECV,5,0.8748, [2 2 3 ... 2 2 3] 
ECV,6,0.8638, [2 2 1 ... 2 2 1] 
ECV,7,0.8638, [0 0 1 ... 0 0 1] 
ECV,8,0.8316, [7 7 0 ... 7 7 0] 
ECV,9,0.8279, [7 7 3 ... 7 7 3] 
ECV,10,0.8307, [7 7 1 ... 7 7 1] 
FF,3,0.9669, [2 2 2 ... 2 0 0] 
FF,4,0.9601, [2 2 2 ... 2 3 3] 
FF,5,0.9502, [3 2 2 ... 2 1 1] 
FF,6,0.9456, [3 5 5 ... 5 1 1] 
FF,7,0.9410, [3 2 2 ... 2 1 1] 
FF,8,0.9410, [3 0 0 ... 0 1 1] 
FF,9,0.9146, [3 8 8 ... 8 0 0] 
FF,10,0.9025, [1 8 8 ... 8 4 4] 
