abm,k,score, labels 
BR,3,0.7543, [2 2 1 ... 0 2 2]
BR,4,0.7311, [0 0 1 ... 2 0 0]
BR,5,0.7133, [3 3 0 ... 2 4 4]
BR,6,0.6311, [3 3 2 ... 0 4 4]
BR,7,0.6251, [1 1 2 ... 6 4 4]
BR,8,0.6298, [0 0 2 ... 6 1 1]
BR,9,0.5916, [8 5 0 ... 6 1 1]
BR,10,0.5485, [8 5 9 ... 6 0 0]
ECV,3,0.8621, [2 2 1 ... 2 2 1]
ECV,4,0.8391, [2 2 0 ... 2 2 0]
ECV,5,0.8201, [2 2 0 ... 2 2 0]
ECV,6,0.8167, [2 2 1 ... 2 2 1]
ECV,7,0.8193, [2 2 1 ... 2 2 1]
ECV,8,0.8187, [2 2 0 ... 2 2 0]
ECV,9,0.8140, [2 2 1 ... 2 2 1]
ECV,10,0.7933, [0 0 1 ... 0 0 1]
FF,3,0.9728, [1 1 1 ... 1 2 2]
FF,4,0.9643, [1 1 1 ... 1 0 0]
FF,5,0.9577, [0 0 0 ... 0 1 1]
FF,6,0.9312, [2 5 5 ... 5 1 1]
FF,7,0.9308, [0 2 2 ... 2 1 1]
FF,8,0.9241, [4 2 2 ... 2 0 0]
FF,9,0.9063, [1 2 2 ... 2 4 4]
FF,10,0.9073, [1 0 0 ... 0 4 4]
