abm,k,score, labels 
BR,3,0.6923, [1 1 0 ... 2 2 2] 
BR,4,0.6908, [2 1 0 ... 3 2 2] 
BR,5,0.6412, [3 1 0 ... 0 2 3] 
BR,6,0.5943, [4 1 0 ... 2 3 3] 
BR,7,0.5324, [3 1 0 ... 5 4 4] 
BR,8,0.4079, [3 1 0 ... 6 5 4] 
BR,9,0.4236, [1 2 0 ... 5 6 1] 
BR,10,0.4323, [4 2 0 ... 6 5 5] 
ECV,3,0.0764, [0 0 1 ... 0 2 1] 
ECV,4,0.1021, [0 0 2 ... 0 3 2] 
ECV,5,0.2823, [4 0 1 ... 4 4 1] 
ECV,6,0.3110, [4 0 2 ... 0 4 2] 
ECV,7,0.3732, [0 0 1 ... 0 4 1] 
ECV,8,0.3700, [0 0 1 ... 0 3 1] 
ECV,9,0.3920, [3 0 2 ... 3 8 2] 
ECV,10,0.3914, [6 0 1 ... 6 2 1] 
FF,3,0.6788, [1 1 2 ... 1 0 0] 
FF,4,0.4038, [2 2 3 ... 2 1 0] 
FF,5,-0.4363, [4 4 2 ... 4 1 0] 
FF,6,0.1736, [4 4 1 ... 4 5 0] 
FF,7,0.0488, [6 5 4 ... 5 2 0] 
FF,8,0.2524, [6 4 2 ... 4 0 0] 
FF,9,0.1282, [8 6 3 ... 6 2 0] 
FF,10,0.1721, [7 6 4 ... 6 1 0] 
abm,k,score, labels 
BR,3,0.6923, [1 1 0 ... 2 2 2] 
BR,4,0.6908, [2 1 0 ... 3 2 2] 
BR,5,0.6412, [3 1 0 ... 0 2 3] 
BR,6,0.5943, [4 1 0 ... 2 3 3] 
BR,7,0.5324, [3 1 0 ... 5 4 4] 
BR,8,0.4079, [3 1 0 ... 6 5 4] 
BR,9,0.4236, [1 2 0 ... 5 6 1] 
BR,10,0.4323, [4 2 0 ... 6 5 5] 
ECV,3,0.0764, [0 0 1 ... 0 2 1] 
ECV,4,0.1021, [0 0 2 ... 0 3 2] 
ECV,5,0.2823, [4 0 1 ... 4 4 1] 
ECV,6,0.3110, [4 0 2 ... 0 4 2] 
ECV,7,0.3732, [0 0 1 ... 0 4 1] 
ECV,8,0.3700, [0 0 1 ... 0 3 1] 
ECV,9,0.3920, [3 0 2 ... 3 8 2] 
ECV,10,0.3914, [6 0 1 ... 6 2 1] 
FF,3,0.6788, [1 1 2 ... 1 0 0] 
FF,4,0.4038, [2 2 3 ... 2 1 0] 
FF,5,-0.4363, [4 4 2 ... 4 1 0] 
FF,6,0.1736, [4 4 1 ... 4 5 0] 
FF,7,0.0488, [6 5 4 ... 5 2 0] 
FF,8,0.2524, [6 4 2 ... 4 0 0] 
FF,9,0.1282, [8 6 3 ... 6 2 0] 
FF,10,0.1721, [7 6 4 ... 6 1 0] 
