abm,k,score, labels 
BR,3,0.6218, [1 1 1 ... 2 2 1] 
BR,4,0.5445, [0 0 0 ... 2 3 3] 
BR,5,0.4739, [0 0 0 ... 2 4 4] 
BR,6,0.3163, [2 2 2 ... 4 5 5] 
BR,7,0.2885, [1 1 1 ... 2 4 6] 
BR,8,0.256, [4 4 7 ... 5 0 4] 
BR,9,0.2364, [7 7 0 ... 8 6 6] 
BR,10,0.2132, [7 7 0 ... 3 6 6] 
ECV,3,0.6034, [2 0 0 ... 0 0 1] 
ECV,4,0.5946, [3 0 0 ... 0 0 1] 
ECV,5,0.584, [3 0 0 ... 0 0 1] 
ECV,6,0.5898, [3 0 0 ... 0 0 1] 
ECV,7,0.5281, [2 0 0 ... 0 0 1] 
ECV,8,0.5251, [3 6 6 ... 6 6 1] 
ECV,9,0.5175, [3 0 0 ... 0 0 6] 
ECV,10,0.5166, [4 3 3 ... 3 3 1] 
FF,3,0.7951, [1 2 1 ... 1 0 0] 
FF,4,0.7393, [2 3 0 ... 0 1 1] 
FF,5,0.7164, [3 2 1 ... 1 0 0] 
FF,6,0.6919, [1 5 4 ... 4 0 0] 
FF,7,0.6773, [4 6 3 ... 3 0 0] 
FF,8,0.6597, [5 2 7 ... 7 1 1] 
FF,9,0.6477, [3 4 1 ... 1 0 0] 
FF,10,0.6391, [3 9 1 ... 5 0 0] 
