0,1,2,3,4,5,6,7,8,9
24.0,41.0,44.8,54.0,65.2,71.4,82.4,90.4,95.4,97.2
1.4,1.0,0.4,0.6,0.8,3.0,2.0,2.8,2.6,0.0
1.2,0.6,3.0,0.6,1.6,0.8,1.4,1.4,1.6,1.2
99.2,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19.0,28.8,40.4,48.2,60.2,64.0,78.6,86.6,89.6,94.8
94.0,97.6,97.6,99.0,99.6,99.6,99.4,99.0,99.6,99.8
41.6,59.2,74.4,84.6,91.0,95.2,97.4,97.6,98.6,99.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
63.8,76.8,82.6,89.6,93.8,96.4,98.4,99.6,99.8,100.0
13.6,24.0,31.8,45.6,54.4,62.8,74.2,84.6,92.0,94.8
4.8,6.4,12.4,11.8,8.4,9.8,13.4,14.0,18.6,20.6
21.2,32.8,38.8,47.0,56.0,66.6,76.8,85.6,90.4,93.0
39.2,58.4,71.8,82.6,90.4,94.6,97.2,98.0,98.4,99.2
99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40.6,60.0,75.6,84.8,89.4,93.8,96.8,97.6,98.4,99.2
0.6,1.4,1.6,0.0,1.6,1.0,1.6,1.6,1.8,1.8
82.2,88.2,92.6,94.4,96.4,98.8,99.2,99.0,99.6,99.4
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99.4,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5.4,5.4,9.4,13.4,14.6,17.2,20.4,24.4,25.4,21.8
94.4,97.2,98.8,99.4,99.8,100.0,100.0,100.0,100.0,100.0
65.0,78.2,86.6,90.8,95.6,98.2,98.4,99.2,99.2,99.8
36.2,56.8,73.8,81.8,87.4,91.2,95.0,97.0,98.0,98.8
62.6,76.2,84.6,90.6,94.2,97.4,98.6,99.4,99.2,99.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83.2,87.8,88.8,92.4,94.6,96.2,97.8,98.6,99.4,99.6
6.2,6.8,8.6,14.8,9.8,9.0,11.0,14.6,10.4,15.6
92.6,96.6,97.6,98.4,99.0,98.4,99.4,98.8,98.4,99.0
62.4,76.0,84.8,87.2,90.8,95.4,97.4,98.2,98.6,99.0
4.2,6.2,6.0,7.0,9.2,12.0,14.4,14.6,21.4,30.8
98.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
36.8,53.8,67.8,74.8,83.2,88.0,93.2,96.0,97.2,98.4
36.2,55.8,67.8,81.6,87.2,92.0,94.4,96.8,97.6,98.8
94.2,97.2,99.0,99.0,99.0,99.4,99.8,99.8,99.8,100.0
1.6,2.0,1.8,0.8,1.4,2.8,2.2,0.8,2.8,0.6
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
21.0,30.2,48.0,57.8,65.6,72.0,83.4,90.2,93.8,97.6
3.2,4.8,4.0,10.6,8.4,6.0,3.2,3.8,8.2,6.8
98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
59.4,79.0,87.0,91.0,95.4,96.6,98.2,98.8,99.6,99.6
94.6,96.8,97.6,98.4,97.4,99.0,99.8,100.0,100.0,100.0
94.0,95.8,96.8,97.2,98.8,99.8,100.0,100.0,100.0,100.0
0.4,1.2,1.4,0.8,1.0,1.0,1.0,0.8,0.4,0.2
0.0,1.2,2.6,0.2,0.6,2.4,2.2,1.0,2.0,1.6
0.8,0.8,1.4,1.0,1.0,3.4,1.0,2.0,1.2,1.6
5.6,10.6,8.4,12.2,17.6,24.2,19.8,20.8,22.4,31.0
2.8,0.6,1.2,0.6,0.8,5.8,0.6,0.4,1.6,1.8
83.2,89.2,91.2,93.0,95.4,98.4,99.0,99.6,99.2,99.6
63.4,77.0,86.0,89.8,93.0,94.8,97.6,97.8,99.2,99.2
59.6,76.2,86.4,90.8,93.8,97.2,97.0,98.8,99.4,98.4
98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
42.0,64.2,74.4,83.0,89.0,92.0,94.6,97.2,98.0,99.2
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
9.0,9.6,11.0,4.6,4.8,3.4,7.4,7.8,9.6,7.2
79.2,85.4,91.4,92.0,96.8,97.8,99.0,99.6,99.6,100.0
81.4,87.2,90.4,94.0,96.8,98.0,99.6,99.8,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14.0,21.6,27.2,34.4,43.2,60.8,66.6,74.8,83.6,89.4
79.6,87.6,90.8,96.2,98.0,99.0,99.0,99.4,99.4,99.8
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1.2,1.0,2.4,3.4,2.6,3.0,1.4,1.6,0.8,1.0
94.4,97.4,98.6,99.0,99.6,100.0,100.0,100.0,100.0,100.0
35.4,56.8,72.8,85.0,91.2,95.2,97.4,98.2,98.4,98.6
0.0,0.6,1.6,1.4,1.0,2.0,2.4,3.2,6.0,5.2
39.2,57.0,73.0,87.6,92.6,95.6,98.6,99.0,99.6,99.8
97.8,99.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2.6,4.0,1.8,1.8,0.4,0.8,1.2,1.0,2.0,0.4
5.8,7.8,8.6,8.0,10.2,12.4,12.4,17.4,20.0,18.6
98.6,99.6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0
