,0,1,2,3,4,5,6,7,8,9
0,17.4,27.6,39.6,46.4,57.0,66.6,72.0,78.2,84.2,91.6
1,81.4,85.2,91.0,95.6,97.2,98.4,99.2,99.8,100.0,100.0
2,4.2,4.6,4.6,2.8,8.8,6.0,7.0,8.6,13.0,15.2
3,41.8,71.2,81.6,89.4,94.2,95.4,97.0,98.2,99.2,99.4
4,98.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,1.0,0.8,0.2,1.8,2.2,0.0,1.4,1.0,1.6,0.2
6,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
7,5.4,3.2,8.2,8.8,4.2,4.0,5.8,9.0,12.8,9.4
8,20.6,31.0,38.2,49.0,58.0,72.6,82.6,89.8,93.4,96.2
9,7.2,8.2,13.8,18.8,19.0,16.0,21.8,22.6,27.4,28.2
10,9.2,10.8,14.8,16.4,19.8,21.2,26.0,29.6,33.0,35.4
11,61.2,74.0,88.0,92.8,97.0,98.6,99.4,99.8,100.0,100.0
12,5.0,14.2,8.6,7.0,10.0,18.8,12.0,12.8,18.2,13.8
13,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
16,39.4,56.8,70.6,82.8,88.4,93.2,95.6,97.8,99.2,99.2
17,1.0,0.8,0.8,1.4,0.8,3.6,0.8,2.2,2.6,1.4
18,83.6,89.0,93.0,95.2,96.6,97.0,97.8,99.0,99.6,99.8
19,0.8,1.4,1.4,0.6,0.4,1.4,1.6,0.6,1.4,1.6
20,3.0,7.6,8.2,8.0,9.4,9.6,13.4,11.4,13.2,14.6
21,34.0,49.8,67.0,77.8,86.4,91.4,96.6,97.6,99.0,98.8
22,98.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,94.8,95.8,97.6,99.6,99.6,99.6,99.8,99.8,100.0,100.0
24,83.0,86.8,92.2,92.2,93.6,94.6,95.0,97.6,97.4,97.4
25,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
26,6.4,5.2,9.0,11.4,12.6,13.4,12.2,15.8,13.4,19.4
27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
28,94.0,95.6,96.4,98.6,99.4,99.4,99.6,99.6,100.0,100.0
29,19.2,34.8,45.4,54.8,65.0,71.8,83.0,87.8,92.4,95.6
30,4.0,3.2,3.8,7.2,9.0,12.6,14.8,18.2,19.0,27.4
31,80.6,87.6,91.2,92.6,95.2,96.4,98.4,99.2,99.6,99.8
32,8.4,15.4,15.4,17.4,10.6,13.2,15.4,16.2,16.2,13.6
33,62.0,75.8,84.6,91.4,94.0,95.6,96.8,98.2,99.2,99.6
34,32.6,54.2,69.0,80.4,87.2,92.4,96.0,98.4,99.0,99.6
35,64.6,75.4,82.4,90.6,94.0,94.8,96.6,97.4,97.6,98.6
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
38,6.8,6.4,10.8,16.6,10.6,10.4,13.6,16.6,16.2,13.0
39,3.6,3.4,0.6,1.6,1.2,1.2,1.6,1.8,3.2,1.4
40,99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
41,1.6,7.0,8.6,15.0,18.0,18.2,25.6,24.6,28.2,28.4
42,98.4,99.8,99.8,99.8,100.0,100.0,100.0,100.0,100.0,100.0
43,0.0,1.6,1.6,0.8,0.8,0.6,2.0,2.8,2.6,2.6
44,60.8,74.6,85.0,90.0,94.2,96.2,98.2,98.6,98.8,99.6
45,80.4,88.4,93.0,95.6,96.2,98.4,98.8,98.8,98.8,98.6
46,62.4,76.0,85.2,92.2,94.0,96.6,96.4,96.6,96.6,98.0
47,59.2,70.6,81.4,88.6,92.8,93.6,94.0,95.8,97.2,98.4
48,17.4,24.4,30.0,42.6,57.4,66.2,81.0,88.8,93.8,96.2
49,36.6,54.2,67.4,80.2,84.2,89.0,94.2,97.4,98.8,99.2
