0,1,2,3,4,5,6,7,8,9
0.4774,0.5134,0.5494,0.5844,0.6262,0.6626,0.7366,0.8102,0.8692,0.8986
0.4928,0.5882,0.6504,0.6884,0.721,0.7538,0.7592,0.7708,0.7696,0.7736
0.5126,0.499,0.5228,0.526,0.5336,0.5114,0.5206,0.5078,0.5094,0.5134
0.4828,0.5576,0.6742,0.7682,0.8246,0.858,0.8818,0.8956,0.9,0.9122
0.4906,0.4936,0.4936,0.4936,0.4936,0.4936,0.4936,0.4936,0.4936,0.4936
0.4878,0.5866,0.6952,0.768,0.7986,0.8198,0.855,0.8734,0.8962,0.8998
0.507,0.5252,0.5075999999999999,0.5044,0.5336,0.5098,0.532,0.5144,0.536,0.5404
0.4996,0.5984,0.6992,0.749,0.7896,0.8426,0.8578,0.8528,0.8814,0.891
0.4964,0.545,0.5986,0.6444,0.6702,0.7308,0.7784,0.8524,0.8918,0.935
0.5068,0.5712,0.6564,0.7368,0.8314,0.8892,0.9204,0.9524,0.9562,0.9622
0.498,0.5216,0.5306,0.5168,0.5164,0.5327999999999999,0.5296,0.5188,0.5115999999999999,0.5512
0.5038,0.6,0.6982,0.743,0.8068,0.83,0.8498,0.8554,0.8558,0.8624
0.4924,0.5104,0.49019999999999997,0.5238,0.5342,0.5292,0.5276,0.538,0.5574,0.5484
0.4942,0.4978,0.4978,0.4978,0.4978,0.4978,0.4978,0.4978,0.4978,0.4978
0.5076,0.5934,0.669,0.7026,0.7544,0.7824,0.7998,0.8026,0.8024,0.8008
0.5008,0.5314,0.5588,0.567,0.5946,0.6736,0.717,0.7866,0.8558,0.8814
0.4962,0.52,0.4978,0.5095999999999999,0.5048,0.5062,0.5234,0.4944,0.5062,0.5136
0.5046,0.5052,0.5052,0.5052,0.5052,0.5052,0.5052,0.5052,0.5052,0.5052
0.5176,0.5178,0.5178,0.5178,0.5178,0.5178,0.5178,0.5178,0.5178,0.5178
0.496,0.5102,0.5122,0.5226,0.5192,0.525,0.5324,0.5386,0.5208,0.5278
0.5152,0.5362,0.5746,0.6212,0.6888,0.7464000000000001,0.8314,0.9016,0.9534,0.972
